record_id,provider,product,plan,role,displayed_price,price_basis,included_allowance,documented_rate_limit,streaming,documented_payment_mode,accepted_asset_or_rail,term_or_renewal,evidence_state,as_of,official_url,initial_decision,purchase_now,notes
"COST-TRACKER-004","Solana Tracker","Data API","Premium","Datastream threshold plan","€397","month","10M requests per month","NOT_CAPTURED_THIS_ATOM","Datastream included","unknown","UNKNOWN","Recheck dashboard and payment rail before decision","official_dashboard_needed","2026-07-18","https://docs.solanatracker.io/pricing","EXCLUDED_INITIAL","false","T2-like infrastructure is premature; no Datastream purchase."
"COST-TRACKER-005","Solana Tracker","Data API","Business","Future scale anchor","€599","month","25M requests per month","NOT_CAPTURED_THIS_ATOM","Datastream included","unknown","UNKNOWN","Recheck dashboard and payment rail before decision","official_dashboard_needed","2026-07-18","https://docs.solanatracker.io/pricing","EXCLUDED_INITIAL","false","Not justified by current collection budget."
"COST-TRACKER-006","Solana Tracker","Data API","Enterprise","Future scale anchor","€1,499","month","100M requests per month","NOT_CAPTURED_THIS_ATOM","Datastream included","unknown","UNKNOWN","Recheck dashboard and payment rail before decision","official_dashboard_needed","2026-07-18","https://docs.solanatracker.io/pricing","EXCLUDED_INITIAL","false","Not justified by current research stage."
"COST-RAPTOR-001","Solana Tracker","Raptor hosted API","Public Beta","Independent unsigned quote comparison candidate","$0 currently stated","public beta period","No documented quota","No rate limits currently stated","not_applicable","not_applicable_current_beta","not_applicable","Beta terms and future pricing unknown","official_docs","2026-07-18","https://docs.solanatracker.io/raptor/overview","WRAP_FOR_TASK07_COMPARISON_AFTER_DUE_DILIGENCE","false","Free/no-rate-limit beta is mutable and is not an SLA; do not treat as equivalent fillability proof before controlled comparison."
"COST-RAPTOR-002","Solana Tracker","Raptor self-hosted binary","Self-hosted","Possible independent router fallback","$0 licensing fees stated","software license/usage","Local compute and operations excluded","No API-key or service rate limit stated","not_applicable","not_applicable","not_applicable","Binary/version/license and supply-chain review required","official_docs","2026-07-18","https://docs.solanatracker.io/pricing","DEFER","false","Zero license price is not zero TCO; do not deploy before TASK-04/07 due diligence."
"COST-BIRDEYE-001","Birdeye","Data Services API","Standard","Secondary indexed comparison","$0","month","30,000 compute units","1 RPS","No WebSocket entitlement documented for Standard","not_applicable_free_plan","not_applicable","free plan","official_docs","2026-07-18","https://docs.birdeye.so/docs/pricing","DEFER_UNLESS_PRIMARY_GAP","false","Secondary because it duplicates much indexed coverage."
"COST-BIRDEYE-002","Birdeye","Data Services API","Lite","Possible short paid comparison","$39","month","1.5M compute units","15 RPS","Package-dependent","crypto_direct_via_contact","USDC or USDT","Crypto route documented only for 3/6/12-month subscriptions","official_docs","2026-07-18","https://docs.birdeye.so/docs/payment","EXCLUDED_INITIAL","false","Long prepayment conflicts with cheap-falsification stage."
"COST-BIRDEYE-003","Birdeye","Data Services API","Starter","Future scale anchor","$99","month","5M compute units","15 RPS","Package-dependent","crypto_direct_via_contact","USDC or USDT","Crypto route documented only for 3/6/12-month subscriptions","official_docs","2026-07-18","https://docs.birdeye.so/docs/payment","EXCLUDED_INITIAL","false","No paid account before a named measured gap."
"COST-BIRDEYE-004","Birdeye","Data Services API","Premium","WebSocket threshold plan","$199","month","15M compute units","50 RPS","WebSocket included","crypto_direct_via_contact","USDC or USDT","Crypto route documented only for 3/6/12-month subscriptions","official_docs","2026-07-18","https://docs.birdeye.so/docs/payment","EXCLUDED_INITIAL","false","Premature streaming and prepayment commitment."
"COST-BIRDEYE-005","Birdeye","Data Services API","Business","Future scale anchor","$499","month","60M compute units","100 RPS","WebSocket included","crypto_direct_via_contact","USDC or USDT","Crypto route documented only for 3/6/12-month subscriptions","official_docs","2026-07-18","https://docs.birdeye.so/docs/payment","EXCLUDED_INITIAL","false","Premature for single-user research stage."
"COST-BIRDEYE-006","Birdeye","x402 Pay-Per-Request API","Current official path","Targeted keyless data access","Route-specific price not published on overview","request","Pay per successful request; no subscription","100 RPS per IP before payment verification","No WebSocket contract documented","crypto_direct_x402","USDC on Solana","No API key or subscription; payment terms returned per request","official_docs","2026-07-18","https://docs.birdeye.so/reference/x402","DEFER_UNTIL_COST_AND_SIGNER_GATE","false","Requires a client-held wallet and signed payment payload; no request, signing or payment is authorized in TASK-01. Numeric route prices and full TCO remain unknown."
"COST-DUNE-001","Dune","Solana data catalog","Reference catalog","Historical discovery/backfill/cross-check","NOT_ASSESSED","reference-only in TASK-01","Raw and decoded Solana datasets documented","Query/runtime limits not costed in this atom","not_applicable","unknown","UNKNOWN","No procurement decision; cost/entitlement recheck only if selected for implementation","official_docs","2026-07-18","https://docs.dune.com/data-catalog/solana/overview","ADOPT_AS_REFERENCE_ONLY","false","Does not reconstruct historical observed_at/available_to_strategy_at or executable quotes."
